1000000000A,I118,C103,I118,D216
1000000001B,I136,X999,I247,C106
1000000002C,C105,I331,D213,I118
1000000003A,D214,I140,C104,I116
1000000004B,L004,G212,E205,I112
1000000005C,L004,P111,E205,I112
1000000006A,L004,C103,E205,I112
1000000007B,I120,I331,I120,T204
1000000008C,I121,G105,I121,D214
1000000009A,L004,T001,E205,I112
1000000010B,A102,I313,C106,I114
1000000011C,I116,T001,I116,T203
1000000012A,I120,I134,I120,T204
1000000013B,E102,C103,L004,I119
1000000014C,I117,I141,I117,C104
1000000015A,I120,I331,I120,T204
1000000016B,I120,I123,I120,T204
1000000017C,I112,I123,I112,C105
1000000018A,C105,I141,D213,I118
1000000019B,D213,I331,E105,I251
1000000020C,D214,I140,C104,I116
1000000021A,I112,A211,I112,C105
1000000022B,I117,X999,I117,C104
1000000023C,I120,I331,I120,T204
1000000024A,I120,P104,I120,T204
1000000025B,A102,G107,C106,I114
1000000026C,A211,I140,D211,I117
1000000027A,I114,I140,I114,E105
1000000028B,E102,I141,L004,I119
1000000029C,D216,C103,C105,I136
1000000030A,C106,P104,D216,I120
1000000031B,I121,P104,I121,D214
1000000032C,A102,I141,C106,I114
1000000033A,L004,C103,E205,I112
1000000034B,I116,I250,I116,T203
1000000035C,I114,I313,I114,E105
1000000036A,C105,I140,D213,I118
1000000037B,I119,G212,I119,T003
1000000038C,I120,I141,I120,T204
1000000039A,I136,A101,I247,C106
1000000040B,I118,C103,I118,D216
1000000041C,D214,I141,C104,I116
1000000042A,D213,I134,E105,I251
1000000043B,I119,I313,I119,T003
1000000044C,I136,G107,I247,C106
1000000045A,I121,C103,I121,D214
1000000046B,D216,G105,C105,I136
1000000047C,I136,P111,I247,C106
1000000048A,I114,G212,I114,E105
1000000049B,D214,P111,C104,I116
1000000050C,D213,I140,E105,I251
1000000051A,I112,G105,I112,C105
1000000052B,D216,I123,C105,I136
1000000053C,L004,A201,E205,I112
1000000054A,I114,P104,I114,E105
1000000055B,L004,I326,E205,I112
1000000056C,I118,I250,I118,D216
1000000057A,D214,P106,C104,I116
1000000058B,D214,T001,C104,I116
1000000059C,I121,T001,I121,D214
1000000060A,D216,G105,C105,I136
1000000061B,C106,G102,D216,I120
1000000062C,I119,I134,I119,T003
1000000063A,D214,A211,C104,I116
1000000064B,A211,G107,D211,I117
1000000065C,I121,C103,I121,D214
